input_img,input_category,target_prompt,model0,model1
https://raw.githubusercontent.com/omriav/public/master/amt_data/051/inp.jpg,cat,a photo of a happy cat,https://raw.githubusercontent.com/omriav/public/master/amt_data/051/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/051/p2p.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/052/inp.jpg,giraffe,a photo of a giraffe next to an avocado,https://raw.githubusercontent.com/omriav/public/master/amt_data/052/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/052/p2p.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/053/inp.jpg,person,a photo of a person next to a purple ball,https://raw.githubusercontent.com/omriav/public/master/amt_data/053/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/053/p2p.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/054/inp.jpg,cat,a photo of a cat with a long hair,https://raw.githubusercontent.com/omriav/public/master/amt_data/054/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/054/p2p.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/055/inp.jpg,person,a photo of a person wearing a blue hat,https://raw.githubusercontent.com/omriav/public/master/amt_data/055/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/055/p2p.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/056/inp.jpg,dog,a photo of a dog next to an avocado,https://raw.githubusercontent.com/omriav/public/master/amt_data/056/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/056/p2p.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/057/inp.jpg,person,a photo of a sad person,https://raw.githubusercontent.com/omriav/public/master/amt_data/057/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/057/p2p.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/058/inp.jpg,dog,a photo of a dog in a dark environment,https://raw.githubusercontent.com/omriav/public/master/amt_data/058/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/058/p2p.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/059/inp.jpg,person,a photo of a person wearing a blue sunglasses,https://raw.githubusercontent.com/omriav/public/master/amt_data/059/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/059/p2p.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/060/inp.jpg,bear,a photo of a bear wearing a pink hat,https://raw.githubusercontent.com/omriav/public/master/amt_data/060/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/060/p2p.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/061/inp.jpg,sheep,a photo of a sheep in a sunny day,https://raw.githubusercontent.com/omriav/public/master/amt_data/061/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/061/p2p.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/062/inp.jpg,dog,a photo of a dog wearing a blue hat,https://raw.githubusercontent.com/omriav/public/master/amt_data/062/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/062/p2p.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/063/inp.jpg,person,a photo of a person with a long hair,https://raw.githubusercontent.com/omriav/public/master/amt_data/063/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/063/p2p.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/064/inp.jpg,elephant,a photo of a happy elephant,https://raw.githubusercontent.com/omriav/public/master/amt_data/064/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/064/p2p.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/065/inp.jpg,person,a photo of a person wearing a red hat,https://raw.githubusercontent.com/omriav/public/master/amt_data/065/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/065/p2p.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/066/inp.jpg,giraffe,a photo of a giraffe next to a yellow ball,https://raw.githubusercontent.com/omriav/public/master/amt_data/066/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/066/p2p.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/067/inp.jpg,person,a photo of a person wearing a green hat,https://raw.githubusercontent.com/omriav/public/master/amt_data/067/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/067/p2p.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/068/inp.jpg,cat,a photo of a cat next to a blue ball,https://raw.githubusercontent.com/omriav/public/master/amt_data/068/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/068/p2p.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/069/inp.jpg,person,a photo of a person in a dark environment,https://raw.githubusercontent.com/omriav/public/master/amt_data/069/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/069/p2p.jpg
